"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-f80d4304627eeb9a","indeed","https://www.indeed.com/viewjob?jk=f80d4304627eeb9a","http://www.indeed.com/job/part-timefull-time-licensed-mental-health-counselor-hybrid-f80d4304627eeb9a","Part-Time/Full-Time Licensed Mental Health Counselor, hybrid","Thrive Pathway Mental Health Counseling Services, PLLC","Huntington, NY, US","2025-11-01","parttime, fulltime","","hourly","","","USD",True,"","","","","Established therapy private practice in Huntington is seeking a licensed mental health counselor to join on a part\\-time/full\\-time basis.

If you have a passion to help people we invite you to apply. Day, evening, and weekend slots are available for NYS\\-licensed LMHC.

Clients of the practice include adults, families, children, adolescents, and couples. There is an administrative team who will be supporting you and answer all calls and emails, manage marketing, scheduling and payments, which allows you to primarily focus on your clients in session.

Interviews are virtual.

Education:

* Master's (Required)

License/Certification:

* full NYS license (LMHC) (Required)

Job Types: Part\\-time, Full\\-time

Pay: From $35\\.00 per hour

Work Location: Hybrid remote in Huntington, NY 11743","","https://www.indeed.com/cmp/Thrive-Pathway-Mental-Health-Counseling-Services,-Pllc","","","","","","","","","","","",""
"in-8ed266497762e7af","indeed","https://www.indeed.com/viewjob?jk=8ed266497762e7af","http://www.indeed.com/job/medical-office-receptionist-8ed266497762e7af","Medical Office Receptionist","Mikhail Grzhibek, MD, PC","East Patchogue, NY, US","2025-11-01","parttime","direct_data","hourly",18.0,20.0,"USD",True,"","","","","We are looking for a part\\-time receptionist in a medical office in East Patchogue, NY. Applicant must be a quick learner, and a good team player. Responsibilities include: scheduling appointments, answering a 3\\-line phone system, registering patients.

* Prior EMR knowledge is preferred
* collecting co\\-pays or outstanding balances.
* obtain referrals/authorizations as needed.
* Entering demographics/insurance data into EMR system
* updating patient information, verifying insurances.
* Handling a large volume of phone calls
* Scheduling patient appointments into a computerized system
* Medical office experience is required
* Part time, 2 days a week

**Receptionist Skills and Qualifications:**

* Multi\\-tasking
* Excellent verbal communication skills
* Computer proficient

We offer paid holidays, vacation, sick\\-time

Thank you and we look forward to welcoming you to our team! Please, no phone calls

Job Duties:

* Greeting visitors
* Scheduling
* Answering and routing phone calls

Typical end time:

* 5 PM

Typical start time:

* 9AM

Work Remotely

* No

Job Type: Part\\-time

Pay: $18\\.00 \\- $20\\.00 per hour

Benefits:

* Free parking
* Paid sick time
* Paid time off
* Retirement plan

Work Location: In person","","https://www.indeed.com/cmp/Mikhail-Grzhibek,-Md,-PC","","","","","","","","","","","",""
"in-47f4b9bbb41e77ac","indeed","https://www.indeed.com/viewjob?jk=47f4b9bbb41e77ac","http://www.indeed.com/job/phlebotomist-47f4b9bbb41e77ac","Phlebotomist","","Missouri City, TX, US","2025-11-01","parttime, contract","direct_data","hourly",16.0,20.0,"USD",False,"","","","","**Overview**  
Join our dynamic healthcare team as a Phlebotomist, where your skills in specimen collection will make a significant impact on the lives of those we serve. You will play a vital role in ensuring accurate blood sampling and processing, in a clinical setting. Your expertise in laboratory procedures and techniques will be essential.

**What you’ll do**

* Perform venipuncture and blood sampling with precision and care, ensuring patient comfort throughout the process.
* Collect, label, and process specimens according to established protocols, maintaining the highest standards of aseptic technique.
* Provide excellent patient service by communicating effectively with patients about procedures and addressing any concerns they may have.
* Collaborate with laboratory staff to ensure accurate specimen handling and timely processing of samples.
* Maintain cleanliness and organization of the laboratory environment, adhering to safety regulations at all times.
* Stay current with medical terminology, anatomy, and physiology knowledge to enhance patient interactions and improve service delivery.

**Basic qualifications**

\\* Certification required

* Proven experience in laboratory procedures and techniques related to phlebotomy.

**Preferred qualifications**

* Clinical laboratory experience in a hospital or healthcare setting.
* Strong understanding of medical terminology related to blood collection and specimen processing.
* Familiarity with anatomy knowledge that supports effective venipuncture practices.

**Why you’ll love it here**  
We are dedicated to fostering an environment where our employees can thrive both personally and professionally.

**About us**  
As part of our healthcare team, you will contribute to our mission of delivering exceptional patient care through skilled practices in phlebotomy. We believe in empowering our employees by creating an inclusive environment that recognizes their contributions while enhancing the health of our community every day. Join us in making a difference!

Job Types: Part\\-time, Contract

Pay: $16\\.00 \\- $20\\.00 per hour

Benefits:

* Flexible schedule
* Paid training
* Referral program

Work Location: In person","","https://www.indeed.comNone","","","","","","","","","","","",""
"in-2ed336bb4d527a26","indeed","https://www.indeed.com/viewjob?jk=2ed336bb4d527a26","http://www.indeed.com/job/behavior-technician-2ed336bb4d527a26","Behavior Technician","Gan Henel ELC","New London, CT, US","2025-11-01","parttime","direct_data","hourly",25.0,40.0,"USD",False,"","","","","**Job Overview**  
Looking to hire a behavior tech/therapist to work with high functioning young adult male with executive functioning and daily living skills.

Client is high functioning with no behaviors at all and is pleasant, happy and engaging. Just needs reminders and prompts of daily living skills. He attends Mitchell college and has a flexible schedule.

Qualifications include a high school diploma and an engaging and patient personality. No formal training required. Will train on the job.

Looking to fill 10 hours per week ideally. Can be split between multiple techs/therapists.

Excellent BCBA supervision, support and guidance. Competitive hourly rate.

Job Type: Part\\-time

Pay: $25\\.00 \\- $40\\.00 per hour

Work Location: In person","","https://www.indeed.com/cmp/Gan-Henel-Elc","","","","","","","","","","","",""
"in-e4b263c1c747a73b","indeed","https://www.indeed.com/viewjob?jk=e4b263c1c747a73b","http://www.indeed.com/job/aba-behavior-technician-e4b263c1c747a73b","ABA Behavior Technician","Improved Dynamics ABA","Timmonsville, SC, US","2025-11-01","parttime","direct_data","hourly",17.0,25.0,"USD",False,"","","","","Improved Dynamics ABA is currently seeking hardworking Behavior Techicians to join our growing organization. BTs are responsible for aiding the BCBA/LBAs in implementing behavior reduction and skill acquisition treatment plans. The Behavior Technician must have an understanding of autism and how to treat the deficits and behaviors associated with the diagnosis and learn applied behavior analysis (ABA) standards and practices. ***We are willing to train the right candidate as they work towards obtaining their RBT certification***. . Potential to move to full time hours.

**Responsibilities**

* Implement behavioral plans designed by BCBA/LBA in clients’ homes or in clinic
* Provide one on one in\\-home and community\\-based Applied Behavioral Analysis therapy
* Maintain clear lines of communication with families and supervisors
* Collect data to monitor the progress and effectiveness of the individualized treatment plan and report progress
* Assisting with initial assessments
* Aid in training Behavior Technicians

**Qualifications**

* Access to reliable transportation, *local travel required*
* Minimum of high school diploma or equivalent
* The ability to work flexible, full and part\\-time schedules
* Experience working with children with ASD or other diagnosed disabilities preferred
* Strong communication, problem\\-solving and organizational skills required

**What Improved Dynamics can offer:**

* Competitive hourly rate commensurate with experience
* Flexible part\\-time schedules

Job Type: Part\\-time

Pay: $17\\.00 \\- $25\\.00 per hour

Benefits:

* Flexible schedule

Work Location: In person","","https://www.indeed.com/cmp/Improved-Dynamics-Aba","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/de6f306cd919a95c78718723bcb53ff0","https://improveddynamicsaba.com","1640 Boro Pl 4th fl McLean VA, 22102","","","","","","","","",""
"in-5a74c85c98186da6","indeed","https://www.indeed.com/viewjob?jk=5a74c85c98186da6","http://www.indeed.com/job/contract-speech-language-pathologist-position-5a74c85c98186da6","Contract Speech Language Pathologist Position","Prime Speech Solutions","Springfield, NJ, US","2025-11-01","contract","direct_data","hourly",65.0,75.0,"USD",False,"","","","info@primespeechsolutions.com","**About Us:**  
Prime Speech Solutions is a pediatric speech and language practice dedicated to helping children build communication skills, confidence, and independence. We partner with daycares, private schools, and families to provide high\\-quality therapy in nurturing learning environments.

We are expanding our team and are seeking a motivated, entry\\-level Speech\\-Language Pathologist who is passionate about working with children in community\\-based settings.

**Position Overview:**

This is a part\\-time contract position ideal for an early\\-career SLP looking to gain hands\\-on experience across multiple settings. Services will be delivered at local daycares, school settings, and some in\\-office sessions in Springfield, NJ.

We will provide ongoing support, clinical mentorship, and training to help you grow in your role.

**Responsibilities:**

* Provide speech and language therapy to children ages 2–18 in daycare, school, and clinic environments
* Conduct screenings and assist with evaluations as needed
* Develop engaging, goal\\-directed treatment plans
* Document progress using SOAP notes and periodic progress summaries
* Collaborate with teachers, caregivers, and school personnel to support generalization of skills
* Participate in team communication and occasional staff meetings

**Qualifications:**

* Master’s degree in Speech\\-Language Pathology (required)
* NJ State SLP License (required)
* Strong interpersonal communication skills
* Open to travel between partnering sites (within surrounding towns)
* Passionate about working with children and supporting their developmental growth

**Schedule \\& Compensation:**

* Part\\-time, flexible scheduling (10–20 hours weekly to start)
* Contract rate commensurate with experience
* Opportunities for **a**dditional hours as caseload builds
* Mentorship and collaboration provided

**To Apply:**

Please email your resume and (optional) brief statement of interest to:  
**info@primespeechsolutions.com**  
Subject Line: **Speech Therapist Contract Application – \\[Your Name]**

Job Type: Contract

Pay: $65\\.00 \\- $75\\.00 per hour

Expected hours: 2 – 10 per week

Work Location: On the road","","https://www.indeed.com/cmp/Prime-Speech-Solutions","","","","","","","","","","","",""
"in-502ded579f607f33","indeed","https://www.indeed.com/viewjob?jk=502ded579f607f33","http://www.indeed.com/job/dental-treatment-plan-coordinator-floater-502ded579f607f33","Dental treatment plan coordinator / Floater","Endodontics in Brickell","Miami, FL, US","2025-11-01","fulltime","direct_data","hourly",22.0,25.0,"USD",False,"","","","","**Who would you be joining?**

* A modern and welcoming boutique office in Brickell, Miami
* A supportive team environment that values your contributions

**What will you be doing?**

Treatment plan/insurance coordination

* Create and present treatment plans
* Follow up outstanding insurance payments
* Assist in insurance verifications / insurance coordination
* Ensure the schedule structure and goal is maintained

Assist the front desk receptionist (following a daily structure to do them)

* Assist in answering overflow of calls and texts
* Assist in scheduling appointments, collecting payments, entering payments
* Assist in communicating with other dental offices that refer patients
* Assist in other secretarial tasks (using excel, etc.)

Assist the main dental assistant (following a daily structure to do them)

* Assist in setting up rooms, doing sterilization, taking X\\-rays and CBCTs
* Communicating with vendors re: materials/equipment, etc.
* Assist in buying materials, mailing documents, etc.

Assist in marketing strategies

Assist in documentation

**What are we looking for?**

* Excellent communication (verbal and written in English and Spanish)
* Basic mathematical skills
* Strong organizational, multitasking abilities and detailed oriented
* Knowledge of Microsoft Excel and Words, etc.
* A team player with good references (trustworthy, reliable, energetic, fast\\-learner)
* A motivated individual who brings professionalism, positive energy
* Top\\-notch customer service skills
* Familiarity with compliance of HIPPA, OSHA and infection control regulations
* Previous dental office experience

Our Instagram is: **drherrerarootcanal**

**Benefits:**

* Paid Holidays
* Paid Time Off
* Bonus

Background check and possible random drug test

Job Type: Full\\-time

Pay: $22\\.00 \\- $25\\.00 per hour

Work Location: In person","","https://www.indeed.com/cmp/Endodontics-in-Brickell","","","","","","","","","","","",""
"in-5808e740e26eab65","indeed","https://www.indeed.com/viewjob?jk=5808e740e26eab65","http://www.indeed.com/job/certified-nursing-assistant-weekends-5808e740e26eab65","Certified Nursing Assistant-Weekends","Seniors Helping Seniors","Riverview, FL, US","2025-11-01","parttime","direct_data","hourly",17.0,18.0,"USD",False,"","","","","Apply today and meet our recruiter, Kiara Dickens, who's been a Registered Nurse for 10 years and understands the importance of having financial stability, a flexible schedule, and a workplace that cares.

Starting at $17/hr \\- $18/hr. with an excellent work environment (including 24/7 support) and full\\-time or part\\-time available for caregiving positions in South Hillsborough County and the surrounding areas!

Benefits

* Competitive wages: $17/hr to $18/hr
* Comprehensive support, 24/7
* Training, ongoing education, and orientation

Our Mission

When our founder's parents developed dementia, she decided to drop everything and take care of them full\\-time. She doesn't want other families to feel under the same burden. We understand that caring for those most in need in our community lifts a huge burden.

Our Ideal Candidate

We're seeking compassionate individuals for caregiving roles. We offer a robust training program for both experienced and new caregivers. Enjoy a supportive work environment with full\\-time and part\\-time positions available in South Hillsborough County.

Job Responsibilities

* Assist clients with **activities of daily living (ADLs)**, including bathing, dressing, grooming, toileting, feeding, and mobility.
* Provide **personal hygiene care** such as oral care, skin care, hair care, and nail care (non\\-clinical).
* Assist with **ambulation, transfers, and range\\-of\\-motion exercises** as instructed by the care plan.
* Perform **light housekeeping** duties such as laundry, meal preparation, and maintaining a clean, safe environment.
* Take and record **vital signs** (temperature, pulse, respiration, and blood pressure) as directed.
* Observe and report **changes in client condition** or unusual incidents promptly to the supervising nurse or care coordinator.
* Provide **companionship** and emotional support to clients and families.
* Follow the client’s **care plan** and agency policies and procedures.
* Maintain **accurate documentation** of care provided, observations, and client activities.
* Adhere to **infection control and safety protocols** at all times.
* Participate in **ongoing training and competency evaluations**.

Requirements

* **Current CNA certification** (state\\-approved and active).
* **High school diploma or GED** required.
* **CPR and First Aid certification** (current).
* **Valid driver’s license and reliable transportation** (if travel is required).
* Previous **home care or long\\-term care experience** preferred.
* Excellent communication, observation, and time\\-management skills.
* Compassionate, dependable, and able to work independently.
* Treat clients with dignity and respect
* Weekend availability (If applicable)
* Effective communication skills
* Valid driver's license and auto insurance (If applicable)
* Level 2 Background Check
* Compliance with State of Florida regulations, DMV check, and drug screening.

Become a valued part of our team and help enhance the lives of aging adults in our community!

Job Type: Part\\-time

Pay: $17\\.00 \\- $18\\.00 per hour

Expected hours: 12 – 24 per week

Work Location: In person","Health Care","https://www.indeed.com/cmp/Seniors-Helping-Seniors","","http://www.homecarenortherncolorado.com","2290 E. Prospect Rd. Suite 6
Fort Collins, CO 80525

Phone: 970-631-8251","51 to 200","$1M to $5M (USD)","","","","","","",""
"in-ee67870cfffca803","indeed","https://www.indeed.com/viewjob?jk=ee67870cfffca803","http://www.indeed.com/job/certified-nursing-assistant-ee67870cfffca803","Certified Nursing Assistant","Seniors Helping Seniors","Riverview, FL, US","2025-11-01","parttime","direct_data","hourly",17.0,18.0,"USD",False,"","","","","Apply today and meet our recruiter, Kiara Dickens, who's been a Registered Nurse for 10 years and understands the importance of having financial stability, a flexible schedule, and a workplace that cares.

Starting at $17/hr \\- $18/hr. with an excellent work environment (including 24/7 support) and full\\-time or part\\-time available for caregiving positions in South Hillsborough County and the surrounding areas!

Benefits

* Competitive wages: $17/hr to $18/hr
* Comprehensive support, 24/7
* Training, ongoing education, and orientation

Our Mission

When our founder's parents developed dementia, she decided to drop everything and take care of them full\\-time. She doesn't want other families to feel under the same burden. We understand that caring for those most in need in our community lifts a huge burden.

Our Ideal Candidate

We're seeking compassionate individuals for caregiving roles. We offer a robust training program for both experienced and new caregivers. Enjoy a supportive work environment with full\\-time and part\\-time positions available in South Hillsborough County.

Job Responsibilities

* Assist clients with **activities of daily living (ADLs)**, including bathing, dressing, grooming, toileting, feeding, and mobility.
* Provide **personal hygiene care** such as oral care, skin care, hair care, and nail care (non\\-clinical).
* Assist with **ambulation, transfers, and range\\-of\\-motion exercises** as instructed by the care plan.
* Perform **light housekeeping** duties such as laundry, meal preparation, and maintaining a clean, safe environment.
* Take and record **vital signs** (temperature, pulse, respiration, and blood pressure) as directed.
* Observe and report **changes in client condition** or unusual incidents promptly to the supervising nurse or care coordinator.
* Provide **companionship** and emotional support to clients and families.
* Follow the client’s **care plan** and agency policies and procedures.
* Maintain **accurate documentation** of care provided, observations, and client activities.
* Adhere to **infection control and safety protocols** at all times.
* Participate in **ongoing training and competency evaluations**.

Requirements

* **Current CNA certification** (state\\-approved and active).
* **High school diploma or GED** required.
* **CPR and First Aid certification** (current).
* **Valid driver’s license and reliable transportation** (if travel is required).
* Previous **home care or long\\-term care experience** preferred.
* Excellent communication, observation, and time\\-management skills.
* Compassionate, dependable, and able to work independently.
* Treat clients with dignity and respect
* Weekend availability (If applicable)
* Effective communication skills
* Valid driver's license and auto insurance (If applicable)
* Level 2 Background Check
* Compliance with State of Florida regulations, DMV check, and drug screening.

Become a valued part of our team and help enhance the lives of aging adults in our community!

Job Type: Part\\-time

Pay: $17\\.00 \\- $18\\.00 per hour

Expected hours: 12 – 24 per week

Work Location: In person","Health Care","https://www.indeed.com/cmp/Seniors-Helping-Seniors","","http://www.homecarenortherncolorado.com","2290 E. Prospect Rd. Suite 6
Fort Collins, CO 80525

Phone: 970-631-8251","51 to 200","$1M to $5M (USD)","","","","","","",""
"in-a8ae0177de287e82","indeed","https://www.indeed.com/viewjob?jk=a8ae0177de287e82","http://www.indeed.com/job/staff-physical-therapy-assistant-a8ae0177de287e82","Staff Physical Therapy Assistant","ReNew Concierge Physical Therapy","Pensacola, FL, US","2025-11-01","fulltime","direct_data","yearly",55000.0,95000.0,"USD",False,"","","","","**PTA with Purpose**

At Renew Integrative Physical Therapy, we believe that true healing for patients begins with humility, service, and purpose. We are a Christ\\-centered, self\\-pay orthopedic practice committed to honoring God in our work, putting others before ourselves, and restoring people to full wellness. This is more than a job — it’s a calling.

The medical system is broken and as reimbursements go down and the need for wholistic healing increases, there is a great need for a different kind of healing through physical therapy. Physical therapy assistants are already being replaced by A.I., online exercise protocols and other professions such as massage therapy. Only the PTs who invest in themselves and train to approach healing differently will be able to meet the demands of a changing healthcare climate.

We believe we are that industry disrupter that our system needs – not by chasing titles or status, but by becoming excellent in both skill and spirit. We are looking for remarkable individuals with strong character, a heart for service, and a relentless pursuit of growth — not simply years of experience.

If you are ready to grow into the clinician and person you were meant to be, read on.

**Physical Therapist Assistant Opportunity Highlights**

* **Clinical Mentorship \\& Mastery**: Train in advanced, cutting\\-edge techniques that go beyond traditional PTA school curriculum. With deep mentorship and a focus on integrative healing, our team is elevated into the top 1% of clinicians in the country — both in outcomes and income.
* **Earn While You Learn:** We believe “high requirements deserve high reward.” That’s why we provide full compensation and benefits even during training, so you can grow without the burden of financial stress.
* **Leadership Development \\& Ownership Pathways:** We don’t just teach you how to treat — we equip you to lead. You’ll gain business acumen, leadership tools, and even the opportunity to open your own practice within our network, if that’s your calling.

**Who is Renew?**

Renew Integrative Physical Therapy is a true industry disruptor – not because we chase trends, but because we return to what matters most: outcomes for clients. We put patients before paperwork and purpose above profit. Every decision we make is grounded in honoring God, serving others with compassion, and delivering exceptional outcomes.

We seek to understand the root cause of dysfunction and provide care that brings lasting healing, not just temporary relief. Our model empowers clinicians to spend quality time with patients, apply advanced techniques like Fascial Counterstrain, and solve the complex problems others overlook.

At Renew, excellence isn’t a buzzword — it’s a culture. We attract physical therapist assistants who are hungry for growth, willing to be sharpened, and ready to lead a new standard of care. This is where mission meets mastery. If you're ready to make a difference and rise to your full potential, you're in the right place.

**Do You Have What It Takes to Join Renew?**

* **Full Commitment** – There is no halfway. We serve wholeheartedly.
* **Confidence** – Know what you know. Own what you don’t.
* **Humility** – Be teachable, flexible, and eager to grow.
* **Grit** – This path is not easy, but it’s worth it.

**Next Steps**

Only apply if you resonate with this mission and meet the criteria above. To be considered, please submit your resume and a cover letter that answers the following:

* Where do you see yourself in 5–10 years?
* What values are most important to you in an employer?
* What do you know about Fascial Counterstrain (if anything)?

**A Final Note**

We receive many applications and accept very few. If we don’t contact you, please know we are grateful for your interest and may reach out when a future opening aligns. We do not hire resumes — we hire people. People who are bold in faith, humble in heart, relentless in pursuit, and deeply aligned with our mission to bring true healing to the world.

Job Type: Full\\-time

Pay: $55,000\\.00 \\- $95,000\\.00 per year

Benefits:

* 401(k) 4% Match
* Continuing education credits
* Flexible schedule
* Paid time off
* Relocation assistance
* Travel reimbursement

Work Location: In person","","https://www.indeed.com/cmp/Renew-Concierge-Physical-Therapy","","","","","","","","","","","",""
