"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"in-c1565b067215b774","indeed","https://www.indeed.com/viewjob?jk=c1565b067215b774","http://www.indeed.com/job/server-c1565b067215b774","Server","Tea Bro","Plantation, FL, US","2025-11-01","parttime, fulltime","","","","","",False,"","","","","Need to remember a lot drink recipes.

Clean dishes mop floor

not a easy job. Multiple tasked going on same time.

good working environment

Friendly owner and flexible schedule

prefer college students and long time working.

Pay rate increases every 6 months

Send a resume with photo to our email plz. And we will schedule a on site interview.

Job Types: Full\\-time, Part\\-time

Benefits:

* Employee discount
* Flexible schedule
* Paid training

Work Location: In person

Job Types: Full\\-time, Part\\-time

Pay: $13\\.00 \\- $16\\.00 per hour

Benefits:

* Employee discount
* Flexible schedule
* Paid training

Ability to Relocate:

* Plantation, FL 33317: Relocate before starting work (Required)

Work Location: In person","","https://www.indeed.com/cmp/Tea-Bro","","","","","","","","","","","",""
"in-859ed230493305ff","indeed","https://www.indeed.com/viewjob?jk=859ed230493305ff","http://www.indeed.com/job/serverbartender-859ed230493305ff","Server/Bartender","Mr & Mrs Crab","Sanford, FL, US","2025-11-01","parttime, fulltime","","","","","",False,"","","","","**Job Summary**  
We are looking for Servers/Bartenders with incredible hospitality to take and deliver orders. You'll be the face of our restaurant and responsible for our customer's experiences. Food server responsibilities include ensuring our tables are clean and tidy when guests arrive, presenting menus and serving food and beverages. You need to be quick on your feet and have a polite and friendly attitude. If you enjoy talking to people and thrive in a fast\\-paced workplace, we'd like to meet you. Your ultimate goal will be to provide high\\-quality service that will help us maintain and attract customers

Job Types: Full\\-time, Part\\-time

Pay: $10\\.98 \\- $50\\.00 per hour

Benefits:

* Employee discount

Work Location: In person","","https://www.indeed.com/cmp/Mr-&-Mrs-Crab","","","","","","","","","","","",""
"in-3928645e8f716080","indeed","https://www.indeed.com/viewjob?jk=3928645e8f716080","http://www.indeed.com/job/server-3928645e8f716080","Server","Deluxe Diner","Reading, PA, US","2025-11-01","parttime, fulltime","direct_data","daily",150.0,200.0,"USD",False,"","","","","need servers on weekends mornings \\& nights

very busy diner so there’s opportunity to make money

Morning Shift 8am\\-1:30pm

afternoon shift 1:30pm\\-8:30pm

MUST WORK the entire shift

very friendly work environment we’re all a close knit family text me at 484\\-794\\-6364 or 484\\-506\\-8828

Job Types: Full\\-time, Part\\-time

Pay: $150\\.00 \\- $200\\.00 per day

Work Location: In person","","https://www.indeed.com/cmp/Deluxe-Diner","","","","","","","","","","","",""
"in-67ecb3443415a487","indeed","https://www.indeed.com/viewjob?jk=67ecb3443415a487","http://www.indeed.com/job/guest-room-attendant-67ecb3443415a487","Guest Room Attendant","Oetker Hotel Masterpiece Collection","Palm Beach, FL, US","2025-11-01","fulltime","","","","","",False,"","","","","**Profile Summary**

The uniqueness of The Vineta Hotel requires a Housekeeping Room Attendant with personality underscored by the highest degree of people acumen to provide an immaculate housekeeping experience in regard to cleaning, servicing, and maintaining all guest accommodations.

* Delight our guests at every interaction, with a genuinely warm presence, friendly, sincere nature, drive for service excellence.
* Empty trash containers, vacuum floors, remove all dirty terry and replace with clean par to designated layout, remove soil, dirt, soap build\\-up and hair from bathroom mirrors, vanity, sink, toilet, shower walls, bathtub, shower curtain and floor.
* Check complimentary coffee, snack, and toiletry supplies in the room, restocking according to provided hotel checklist and policy.
* Remove soiled linens, towels, bedspreads, blankets, laundry bags and slips, from each assigned room and provide fresh replacements.
* Handle guest items with the utmost care and attention to detail.
* Transport any room service trays/items in guest hallways to the appropriate location.
* Submit all maintenance issues in guestrooms, Public Areas and back of house areas to the Engineering department through designated work systems and bring them to the attention of the Housekeeping management.

**Core Competencies / Requirements**

* Ability to provide a warm, friendly, and professional service at all times to hotel guests and fellow hoteliers.
* Ability to exert physical effort in being able to clean up to 13 rooms per shift.
* Knowledgeable of proper cleaning techniques, proper chemical handling requirements, and use of equipment.
* Strong interpersonal skills, exceptional communication skills.
* Able to follow through on direction, with minimal supervision. Ability to think independently, possess good judgment, proven problem\\-solving skills and effective decision\\-making skills.
* At least 1 year of housekeeping experience, preferably in a luxury hotel or resort.
* Excellent personal presentation and interpersonal skills.
* Strong time management skills: ability to multi\\-task, set priorities, and adjust to changing conditions. Willing to work in a fast\\-paced environment.

**Compensation**  
Competitive salary, wages, and a comprehensive benefits package.  
401(k) Retirement Plan  
Paid Time Off/ Paid Holidays  
Ongoing Training and Development Opportunities from our Masterpiece Academy.  
Complimentary Dry Cleaning for Employee Uniforms.  
Complimentary Hotelier Meal

**US work authorization is required.**

The Vineta Hotel is an Equal Opportunity, Affirmative Action employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply.

Job Type: Full\\-time

Benefits:

* 401(k) matching
* Dental insurance
* Health insurance
* Vision insurance

Work Location: In person","","https://www.indeed.com/cmp/Oetker-Hotel-Masterpiece-Collection-1","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/12019c0694ccb16b1cc1ccc9bc815a13","https://www.oetkerhotels.com/","Paris","1,001 to 5,000","Decline to state","Join the elite of luxury hospitality and refine your craft — Oetker Hotels is preparing to unveil a new collection of extraordinary destinations around the world…
","","","","","",""
"in-f0fe202513717d8e","indeed","https://www.indeed.com/viewjob?jk=f0fe202513717d8e","http://www.indeed.com/job/assistant-kitchen-manager-f0fe202513717d8e","Assistant Kitchen Manager","Sparrow","Kirkland, WA, US","2025-11-01","fulltime","direct_data","hourly",25.0,32.0,"USD",False,"","","","","Sparrow is an upscale, detail\\-driven restaurant in the heart of Kirkland. We’re looking for a **culinary\\-focused Assistant Kitchen Manager** to help lead our kitchen team and maintain the high standards our guests expect.

**Responsibilities:**

* Support the Kitchen Manager in daily operations and team leadership
* Oversee line execution and ensure dishes meet Sparrow’s standards of quality and presentation
* Assist with prep, inventory, and ordering
* Maintain a clean, organized, and efficient kitchen
* Train and mentor kitchen staff

**Qualifications:**

* Minimum 2 years of leadership experience in a professional kitchen
* Strong attention to detail and consistency
* Ability to work collaboratively with a skilled, motivated team
* Passion for elevated, ingredient\\-driven cuisine

**Compensation \\& Benefits:**

* $25–$32 per hour, depending on experience
* Health insurance
* Paid time off
* Employee dining discounts
* Growth opportunities within the company

Join a team that values professionalism, precision, and pride in every plate.

Job Type: Full\\-time

Pay: $25\\.00 \\- $32\\.00 per hour

Expected hours: 40 per week

Benefits:

* Dental insurance
* Employee discount
* Health insurance
* Paid time off
* Paid training
* Vision insurance

Work Location: In person","","https://www.indeed.com/cmp/Sparrow","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a81cb60a8029d9252e3c2a2e198b96e3","https://www.sparrowone.com","Scottsdale","2 to 10","less than $1M (USD)","","","","","","",""
"in-e6fb432368cb8829","indeed","https://www.indeed.com/viewjob?jk=e6fb432368cb8829","http://www.indeed.com/job/severbartender-e6fb432368cb8829","Sever/Bartender","Prime Fusion lounge","Philadelphia, PA, US","2025-11-01","parttime","","","","","",False,"","","","","**Job Overview**  
We are seeking a skilled and enthusiastic Server/Bartender to join our dynamic team. The ideal candidate will have a passion for mixology and providing exceptional customer service in a fast\\-paced environment. As a Bartender, you will be responsible for crafting delicious beverages, maintaining a clean and organized bar area, and ensuring a memorable experience for our guests. This role requires excellent time management skills and the ability to work effectively in both casual and fine dining settings.

**Responsibilities**

* Prepare and serve alcoholic and non\\-alcoholic beverages according to standard recipes and customer preferences.
* Maintain cleanliness and organization of the bar area, including washing glassware and utensils.
* Manage inventory levels of liquor, beer, wine, and mixers; assist with ordering supplies as needed.
* Provide excellent customer service by engaging with guests, taking orders accurately, and delivering drinks promptly.
* Handle cash transactions efficiently using cash registers and Aloha POS systems while ensuring proper cash handling procedures are followed.
* Adhere to food safety regulations and responsible alcohol service guidelines at all times.
* Assist with banquet services or catering events as required, ensuring all beverage needs are met for large parties.

**Experience**

* Previous experience in the food industry or restaurant environment is preferred, especially in fine dining settings.
* Familiarity with Toast POS systems is a plus but not mandatory; training will be provided.
* Strong time management skills to handle multiple orders efficiently during peak hours.
* Knowledge of food safety practices related to beverage preparation and service is essential.
* Experience in catering or banquet services is advantageous but not required.

Join us as we create memorable experiences for our guests through exceptional service and expertly crafted drinks!

Job Type: Part\\-time

Pay: $2\\.83 \\- $5\\.00 per hour

Benefits:

* Employee discount

Work Location: In person","","https://www.indeed.com/cmp/Prime-Fusion-Lounge","","http://www.primefusionlounge.com","2425 Grays Ferry Ave, Philadelphia PA 19146","","","","","","","","",""
"in-365094b2be35f2e3","indeed","https://www.indeed.com/viewjob?jk=365094b2be35f2e3","http://www.indeed.com/job/bar-back-365094b2be35f2e3","Bar Back","The Edison Grill","Harwinton, CT, US","2025-11-01","parttime","","hourly","","","USD",False,"","","","","**Overview**  
We are seeking a dedicated and energetic Bar Back to join our dynamic team in a fast\\-paced environment. The ideal candidate will support the bartender by ensuring the bar is well\\-stocked, clean, and organized, while also providing excellent customer service. This role is essential for maintaining a smooth operation during busy shifts and enhancing the overall guest experience.

**Duties**

* Assist bartenders by restocking supplies, including liquor, beer, wine, and mixers as needed.
* Maintain cleanliness of the bar area, including washing glassware and cleaning surfaces.
* Handle food preparation tasks as required, ensuring all items are ready for service.
* Bus tables and assist with clearing dishes to maintain a tidy environment.
* Provide exceptional customer service by engaging with guests and addressing their needs promptly.
* Ensure compliance with food handling and safety regulations at all times.

**Experience**

* Previous experience in the food industry or hospitality sector is preferred.
* Familiarity with barista duties or serving in a restaurant setting is a plus.
* Experience with cash handling and cashiering responsibilities is beneficial.
* Strong communication skills to effectively interact with team members and customers.
* Ability to work in a high\\-energy environment while maintaining professionalism under pressure. Join our team as a Bar Back where your contributions will directly impact our guests' enjoyment and our team's success!

Job Type: Part\\-time

Pay: From $20\\.00 per hour

Expected hours: 4 – 10 per week

Benefits:

* Employee discount

Work Location: In person","","https://www.indeed.com/cmp/The-Edison-Grill-1","","","","","","","","","","","",""
"in-c7338372ee2c3774","indeed","https://www.indeed.com/viewjob?jk=c7338372ee2c3774","http://www.indeed.com/job/inside-tour-travel-sales-representative-c7338372ee2c3774","Inside Tour & Travel Sales Representative","David Thomas Trailways","Philadelphia, PA, US","2025-11-01","fulltime","","yearly","","","USD",False,"","","","","* Assists in the creation, development and sales of David Tours \\& Travel domestic motorcoach group tour \\& travel program.
* Researches the tourism industry for new group tour products to package and sell.
* Book charter motorcoaches \\& school buses
* Provide assistance to customers to help them determine appropriate motorcoach or school bus size that meets their needs
* Provide excellent customer service in a pleasant professional manner
* Prepare accurate price quotes to customers
* Provide timely quote follow\\-up
* Maintain all quote records
* Develops relationships with new and existing customers and provides information to maximize sales volume
* Assist customer and arrange payment terms in accordance with established company policies
* Provide dispatch and drivers with all relevant information to ensure a safe and enjoyable trip

*Pay rate commensurate with relevant experience*

Job Type: Full\\-time

Pay: From $50,000\\.00 per year

Benefits:

* 401(k) matching
* Health insurance
* Paid time off

Application Question(s):

* Do you have a car that is available to you to drive to work everyday?
* Are you currently employed?
* What experience do you possess that will enable you to be successful at this position?
* What piqued your interest in this position for you to decide to apply?

Education:

* High school or equivalent (Preferred)

Experience:

* tour, travel or charter transportation: 2 years (Required)

Work Location: In person","Transport And Freight","https://www.indeed.com/cmp/David-Thomas-Trailways-1","","http://www.davidthomastours.com","14005 McNulty Road","51 to 200","","","","","","","",""
"in-c6181a0da69661ae","indeed","https://www.indeed.com/viewjob?jk=c6181a0da69661ae","http://www.indeed.com/job/restaurant-server-c6181a0da69661ae","Restaurant Server","StoneAge Korean Grill & Bar","Katy, TX, US","2025-11-01","parttime","","","","","",False,"","","","","We are looking for a committed team player. You’ll be the face of our restaurant and responsible for our customers’ experiences. You need to be quick on your feet with a positive and friendly attitude. If you enjoy talking to people and thrive in a fast\\-paced workplace, we’d like to grow with you. Your ultimate goal is to provide high\\-quality service that will create a memorable experience for our customers.

**Responsibilities**

* Prepare restaurant tables with special attention to sanitation and order
* Attend to customers upon entrance
* Present restaurant menus and help customers select food/beverages
* Take and serve orders
* Answer questions or make recommendations for complementary products
* Collaborate with other restaurant servers and kitchen/bar staff
* Deal with complaints or problems with a positive attitude
* Issue bills and accept payment

**Skills**

* Restaurant serving experience preferred but not required
* Attention to cleanliness and safety
* Patience and customer\\-oriented approach
* Excellent people skills with a friendly attitude
* Responsible and trustworthy
* High school diploma is a plus but not required

Job Type: Part\\-time

Pay: From $3\\.00 per hour

Expected hours: 16 – 26 per week

Benefits:

* Employee discount
* Flexible schedule

Experience:

* Restaurant experience: 1 year (Preferred)

License/Certification:

* Food Handler Certification (Preferred)
* TABC Certified (Preferred)

Work Location: In person","","https://www.indeed.com/cmp/Stoneage-Korean-Grill-&-Bar","","","","","","","","","","","",""
"in-3051f5808ed66a38","indeed","https://www.indeed.com/viewjob?jk=3051f5808ed66a38","http://www.indeed.com/job/craft-cocktail-bartender-3051f5808ed66a38","Craft Cocktail Bartender","The Barnett Hotel","New Orleans, LA, US","2025-11-01","fulltime","","","","","",False,"","","","","The Barnett Hotel features the Lobby Bar, serving craft cocktails and Italian\\-accented snacks in a French Deco\\-inspired setting with late\\-night music, and the High\\-Five Pool Bar, a rooftop spot with firepits, small plates, seasonal cocktails, and city views. Bartenders will work at both locations.

**Summary:**  
Prepare beverage orders according to The Barnett Hotel standards and recipes. Manage guest flow around the bar, maintain cleanliness, and ensure an organized workspace.

**Core Focus \\& Essential Responsibilities:**

* Prepare cocktails and drinks to guests’ specifications while maintaining hotel quality standards.
* Handle payments following HRI cash handling procedures.
* Check guest IDs to ensure legal age compliance.
* Input guest orders accurately in the POS system.
* Maintain positive guest relations and current menu knowledge.
* Manage inventory for liquor, wine, beer, and other beverage ingredients.
* Perform side work and other duties as assigned.

**Essential Qualifications:**

* Ability to communicate effectively in English with guests, management, and coworkers.
* Prioritize tasks, manage time, and follow up efficiently.
* Maintain knowledge of hotel services/features and hours of operation.
* Understand and comply with HRI policies and OSHA safety guidelines.
* Ability to perform basic math calculations.
* Meet any legal requirements for alcohol service and maintain a flexible work schedule.

**Education \\& Experience:**

* Minimum 1 year bartending experience; 2 years in fast\\-paced bar or restaurant settings preferred.
* Legally required bartending certifications; Responsible Vendor (RV) Server Permit, or additional certifications preferred.

**Cognitive Abilities:**

* Understand and respond to guest service needs.
* Communicate clearly in English; additional languages encouraged.
* Solve guest and operational issues effectively.
* Perform basic mathematical calculations.

**Physical Demands / Work Environment:**

* Stand, walk, and sit continuously; lift/carry 25 lbs frequently, 50 lbs occasionally.
* Bend, squat, crawl, reach above shoulder level; use dominant hand for grasping, pushing/pulling, and fine manipulation.
* Work in a typical bar environment with ambient lighting and temperatures; exposure to extreme temperatures, dust, dampness, heights, and moving machinery possible.

HRI is an Equal Opportunity Employer, providing fair and equal employment opportunities to all employees and applicants regardless of protected status under Federal, State, or local laws.

Job Type: Full\\-time

Pay: From $6\\.50 per hour

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Employee discount
* Health insurance
* Paid time off
* Referral program
* Vision insurance

Work Location: In person","","https://www.indeed.com/cmp/The-Barnett-Hotel","","","","","","","","","","","",""
